Feb 22 19:33:28: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCLk-Jt6YN1gbgnJ1W5eT0Lkt5I7zRqlIYnmM4AXBbzBhmswe-LYeeDJOIno8mx1CsXzTmQg8hn-rkJgi3qBu1K1MSCo1QddV0fooaqCqlUptypWSgd1vdcscTRsl2o4lVutUEfKkt9ooJ0d9dDzAA0JGQwrU_JzTCLyPN40I6704mDkhOvygR6kzDtqHberNiT5rPocseyavWTgW3o46b_IE51U826X_xxT1oFqQA3ldYGrce8ry3zwoY74A7Y95Gn6So83KooP-gNu_q-2AJxDY9cItGy5hSg5OwTuz8ApQo_XJN2-nptZsASW5viGBQ
Feb 22 19:37:18: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCLk-Jt6YN1gbgnJ1W5eT0Lkt5I7zRqlIYnmM4AXBbzBhmswe-LYeeDJOIno8mx1CsXzTmQg8hn-rkJgi3qBu1K1MSCo1QddV0fooaqCqlUptypWSgd1vdcscTRsl2o4lVutUEfKkt9ooJ0d9dDzAA0JGQwrU_JzTCLyPN40I6704mDkhOvygR6kzDtqHberNiT5rPocseyavWTgW3o46b_IE51U826X_xxT1oFqQA3ldYGrce8ry3zwoY74A7Y95Gn6So83KooP-gNu_q-2AJxDY9cItGy5hSg5OwTuz8ApQo_XJN2-nptZsASW5viGBQ
Feb 22 19:37:18: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
Feb 22 19:37:19: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCLk-Jt6YN1gbgnJ1W5eT0Lkt5I7zRqlIYnmM4AXBbzBhmswe-LYeeDJOIno8mx1CsXzTmQg8hn-rkJgi3qBu1K1MSCo1QddV0fooaqCqlUptypWSgd1vdcscTRsl2o4lVutUEfKkt9ooJ0d9dDzAA0JGQwrU_JzTCLyPN40I6704mDkhOvygR6kzDtqHberNiT5rPocseyavWTgW3o46b_IE51U826X_xxT1oFqQA3ldYGrce8ry3zwoY74A7Y95Gn6So83KooP-gNu_q-2AJxDY9cItGy5hSg5OwTuz8ApQo_XJN2-nptZsASW5viGBQ
Feb 22 19:37:19: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
Feb 22 19:37:25: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:37:25: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): UC.js
Feb 22 19:37:53: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:37:53: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
Feb 22 19:37:53: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): UC.js
Feb 22 19:38:56: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:38:57: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:38:58: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:39:46: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:40:25: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:40:27: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:40:28: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:40:29: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:40:49: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:40:50: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:43:00: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
Feb 22 19:43:01: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay/
